Tag	en	it	de	nl	fi	br	pl	da	tr	fr	es	sl
CREG_BLACKLIST_CONNECTIONFAIL	Please make sure you are connected to the internet to register your player name. If you are connected to the internet make sure your firewall is not blocking New Star GP.	Assicurati di essere connesso ad internet per registrare il nome del tuo giocatore. Se sei connesso ad internet assicurati che un firewall non stia bloccando New Star GP.	Bitte stelle sicher; dass du mit dem Internet verbunden bist; um deinen Fahrernamen zu registrieren. Vergewissere dich; dass New Star Grand Prix nicht von deiner Firewall blockiert wird; wenn du mit dem Internet verbunden bist.	Zorg ervoor dat je verbonden bent met het internet om je naam te registreren. Indien je reeds met het internet verbonden bent; zorg er dan voor dat je firewall New Star GP niet blokkeert.	Ole hyvä ja varmista että olet yhdistänyt internetin rekisteröidäksesi pelaajanimesi. Jos olet yhteydessä internetiin; varmista ettei palomuurisi estä New Star Gran Prix'tä.	Please make sure you are connected to the internet to register your player name. If you are connected to the internet make sure your firewall is not blocking New Star GP.	Aby się zarejestrować upewnij się czy jesteś podłączony do internetu. Jeśli tak upewnij się też czy twój firewall nie blokuje New Star GP.	Kontroller venligst at du er på internettet for at registrere dit spillernavn. Hvis du er på internettet skal du sørge for at din firewall ikke blokerer for New Star GP.	"""Oyuncu isminizi kaydettirmek için lütfen internete bagli oldugunuzdan emin olun. Internete bagliysaniz, güvenlik programinizin New Star Grand Prix'nin internet erisimine izin vermesi gerekmektedir."""	SVP assurez-vous que vous êtes connecté à Internet pour enregistrer votre nom de joueur. Si vous êtes connecté assurez-vous que votre Firewall ne bloque pas New Star GP.	Por favor; asegúrese de que está conectado a Internet para registrar su nombre de jugador. Si está conectado a Internet; asegúrese de que su firewall no bloquea el New Star GP.	Preveri ali si povezan v splet preden registriraš svoje ime. Preveri nastavitve požarnega zidu.
CREG_BLACKLIST_KEY	You have used an illegal license key.	Stai usando una licenza illegale.	Du hast eine ungültige Seriennummer verwendet.	Je license key mag niet gebruikt worden.	Olet käyttänyt laitonta lisenssiavainta.	Você utilizou uma licença ilegal.	Używasz nielegalnego klucza rejestracyjnego.	Du har brugt en ulovlig licensnøgle.	Yasa disi bir lisans anahtari kullandiniz.	Vous avez utilisé une mauvaise clé d'utilisation.	Ha utilizado una clave de licencia ilegal.	Uporabil si nelegalno licenčno kodo.
CREG_BLACKLIST_NAME	You have used an illegal player name.	Stai usando un nome illegale.	Du hast einen ungültigen Fahrernamen verwendet.	Je naam mag niet gebruikt worden.	You have used an illegal player name.	Você utilizou um nome de jogador ilegal.	Używasz nielegalnej nazwy zawodnika.	Du har brugt et ulovligt spillernavn.	Yasa disi bir oyuncu ismi kullandiniz.	Vous avez utilisé un mauvais nom de joueur.	Ha utilizado un nombre de jugador ilegal.	Uporabil si nelegalno igralno ime.
CREG_FAIL	This license key is invalid.	La licenza non è valida.	Diese Seriennummer ist ungültig.	Deze license key is niet geldig.	Lisenssiavain on viallinen.	Esta licença não é válida.	Klucz jest niepoprawny.	Licensnøglen er ugyldig.	Lisans anahtari geçersiz.	Cette clé n'est pas valable.	Esta clave de licencia no es válida.	Licenčna koda je napačna.
CREG_SUCCESS	Thank you for registering New Star GP.	Grazie per aver registrato New Star GP.	Danke; dass du New Star Grand Prix registriert hast.	Bedankt om New Star GP te registreren!	Kiitos New Star Gran Prix'n rekisteröinnistä	Obrigado por registrar New Star GP.	Dziękujemy za zarejestrowanie New Star GP.	Tak for at registrere New Star GP.	New Star Grand Prix'i kaydettirdiginiz icin tesekkür ederiz.	Merci d'avoir enregistré votre version de New Star GP.	Gracias por registrar New Star GP.	Hvala da si registriral New Star Gran Prix.
Current	Current	Corrente	Aktuell	Huidig	Nykyinen	Atual	Obecne	Nuværende	Geçerli	Actuel	Actual	Trenutno
Damage	Damage	Danni	Schaden	Schade	Vahinko	Dano	Uszkodzenia	Skade	Hasar	Dégâts	Daños	Poškodbe
Date Of Birth	Date Of Birth	Data di Nascita	Geburtstag	Geboortedatum	Synytmäaika	Nascimento	Data urodzenia	Fødselsdato	Dogum Tarihi	Date de naissance	Fecha de Nacimiento	Dan rojstva
Deal	Deal	Accordo	Deal	Deal	Jaa	Dar	Postaw	Spil		Distribuer	Repartir	Deli
December	December	dicembre	Dezember	december	joulukuu	Dezembro	Grudzień	December	Aralik	Decembre	Diciembre	december
Delete	Delete	Cancella	Löschen	Wissen	Poista	Excluir	Skasuj	Slet	Sil	Effacer	Borrar	Izbriši
Delete Track	Delete Track	Cancella Circuito	Strecke löschen	Wis circuit	Poista rata	Excluir Pista	Skauj Tor	Slet Bane	Pisti Sil	Effacer le circuit	Eliminar pista	Izbriši stezo
Difficulty	Difficulty	Difficoltà	Schwierigkeitsgrad	Moeilijkheidsgraad	Vaikeustaso	Dificuldade	Poziom Trudności	Sværhedsgrad	Zorluk	Difficulté	Dificultad	Težavnost
Down	Down	Giù	Runter	Naar beneden	Alas	Baixo	W dół	Ned	Asagi	Bas	Abajo	Dol
Drive	Drive	Guida	Fahren	Rijden	Aja	Dirigir	Jedź	Kør	Sür	Piloter	Conducir	Vozi
Driver	Driver	Pilota	Fahrer	Piloot	Ajaja	Piloto	Kierowca	Kører	Sürücü	Pilote	Conductor	Voznik
driver	driver	Pilota	fahrer	Piloot	Ajaja	piloto	kierowca	kører	sürücü	pilote	conductor	voznik
Driver Profile	Driver Profile	Profilo Pilota	Fahrerprofil	Profiel van piloot	Ajajan profiili	Perfil do Piloto	Profil Kierowcy	Kørerprofil	Sürücü Profili	Profil du pilote	Perfil del conductor	Podatki voznika
Dry	Dry	Asciutto	Trocken	Droog	Kuiva	Seco	Sucho	Tør	Kuru	Sec	Seco	Suho
Easy	Easy	Facile	Einfach	Makkelijk	Helppo	Fácil	Łatwy	Nemt	Kolay	Facile	Fácil	Lahko
Edit Mode	Edit Mode	Edit Mode	Editiermodus	Edit Mode	Muokkaustila	Modo de Edição	Edytuj Tryb	Ændringstilstand	Düzenleme Modu	Mode édition	Modo de edición	Urejanje
Editor	Editor	Editor	Editor	Editor	Editori	Editor	Edytor	Editor	Düzenleyici	Editeur	Editor	Urejevalnik
Enter License Key	Enter License Key	Inserisci la chiave licenza	Seriennummer eingeben	Voer License Key in	Syötä lisenssiavain	Inserir licença.	Wpisz Klucz Rejestracyjny	Indtast Licensnøgle	Lisans Anahtari Gir	Enter la clé d'utilisation	Introduzca la clave de licencia	Vnesi licenčno kodo
Erase	Erase	Elimina	Löschen	Wissen	Pyyhi	Apagar	Wyczyść	Slet	Temizle	Supprimer	Borrar	Izbriši
Exit	Exit	Esci	Beenden	Exit	Poistu	Sair	Wyjście	Afslut	Çikis	Sortie	Salir	Izhod
Exit Editor	Exit Editor	Esci dall'Editor	Editor verlassen	Exit Editor	Poistu editorista	Sair do Editor	Wyjdź z edytora	Afslut Editor	Düzenleyiciden Çikis	Quitter l'éditeur	Salir del Editor	Zapusti urejevalnik
Fairytale Castle	Fairytale Castle	Castello Fiabesco	Märchenschloss	Sprookjeskasteel	Satulinna	Castelo de Encantado	Bajkowy Zamek	Eventyrslot	Masal Kalesi	Château	Castillo de hadas	Pravljični grad
Fans	Fans	Tifosi	Fans	Fans	Fanit	Fãs	Fani	Fans	Hayranlar	Fans	Seguidores	Navijači
Fastest Lap	Fastest Lap	Giro più Veloce	Schnellste Runde	Snelste Ronde	Nopein kierros	Volta mais rápida	Najszybsze okrążenie	Hurtigste Omgang	En Hizli Tur	Tour le plus rapide	Vuelta más rápida	Najhitrejši
February	February	febbraio	Februar	februari	helmikuu	Fevereiro	Luty	Februar	Subat	Février	Febrero	februar
Finances	Finances	Finanze	Finanzen	Financiën	Talous	Finanças	Finanse	Finanser	Finansal Durum	Finances	Finanzas	Finance
Finish	Finish	Fine	Endergebnis	Finish	Maali	Final	Koniec	Slutresultat	Bitir	Terminer	Finalizar	Cilj
Friday	Friday	Venerdi	Freitag	vrijdag	perjantai	Sexta-Feira	Piątek	Fredag	Cuma	Vendredi	Viernes	petek
Friend	Friend	Amico	Freund	Vriend	Ystävä	Amigo	Przyjaciel	Ven	Arkadas	Ami	Amigo	Prijatelj
Friends	Friends	Amici	Freunde	Vrienden	Ystävät	Amigos	Przyjaciele	Venner	Arkadaslar	Amis	Amigos	Prijatelji
Fuel	Fuel	Benzina	Treibstoff	Benzine	Polttoaine	Combustível	Paliwo	Benzin	Yakit	Essence	Combustible	Gorivo
Fuel empty!	Fuel empty!	Serbatoio Vuoto!	Treibstoff verbraucht!	Benzinetank is leeg!	Polttoaine loppunut!	Sem combustível!	Brak paliwa!	Tom benzintank!	Yakit bitti!	Panne d'essence!	Combustible vacío!	Zmanjkalo je goriva!
Full Screen	Full Screen	Schermo Intero	Vollbild	Volledig scherm	Koko ruutu	Tela Cheia	Pełny Ekran	Fuld skærm	Tam Ekran	Plein écran	Pantalla completa	Celozaslonsko
Gambling	Gambling	Gioco d'Azzardo	Glücksspiel	Gokken	Uhkapelaaminen	Apostas	Hazard	Gambling	Kumar	Mise	Apuestas	Igre na srečo
Game Date	Game Date	Data Gioco	Spieldatum	Speldatum	Pelin päiväys	Dia do Jogo	Data Gry	Spildato	Oyun Tarihi	Date du jeu	Fecha de juego	Datum igre
Game Name	Game Name	Nome Gioco	Spielname	Spelnaam	Pelin nimi	Nome do Jogo	Nazwa Gry	Spilnavn	Oyun Adı	Nom du jeu	Nombre del Juego	Ime igre
Gothic Castle	Gothic Castle	Castello Gotico	Gotisches Schloss	Gothisch kasteel	Goottityylinen linna	Castelo Gótico	Gotycki Zamek	Gotisk Slot	Gotik Kale	Château gothique	Castillo gótico	Gotski grad
Grid	Grid	Griglia	Startaufstellung	Startorde	Aloitusruudukko	Grid	Grid	Startgrid	Kare	Grille	Cuadrícula	Štartna mesta
Ground Tiles	Ground Tiles	Mattonelle Terreno	Bodentyp	Grond tegels	Maan tyyli	Telhas do chão	Pokrycie gruntu	Jordfelter	Ana Zemin	Cases Terrain	Baldosas de suelo	Teren
Handling	Handling	Manovrabilità	Handhabung	Besturing	Käsittely	Controle	Hamowanie	Håndtering	Tutus	Maniabilité	Manejo	Upravljanje
Hard	Hard	Difficile	Schwer	Moeilijk	Vaikea	Difícil	Trudny	Svært	Zor	Dur	Difícil	Težko
Help	Help	Aiuto	Hilfe	Help	Apua	Ajuda	Pomoc	Hjælp	Yardim	Aide	Ayuda	Pomoč
High	High	Alto	Hoch	Hoog	Korkea	Alta	Wysoka	Højt	Yüksek	Elevé	Alto	Visoko
Hit	Hit	Hit	Weiterspielen	Druk	Lyö	Receber	Dobierz	Giv kort	Kart Al	Prendre	Pedir	Nova karta
Hold	Hold	Blocca	Halten	Vasthouden	Jää	Parar	Wstrzymaj	Hold	Bekle	Arrêter	Plantarse	Dovolj
Info	Info	Info	Info	Info	Info	Info	Informacja	Info	Bilgi	Info	Información	Info
Information	Information	Informazioni	Information	Informatie	Informaatio	Informação	Informacja	Information	Bilgi	Information	Información	Informacije
January	January	gennaio	Januar	januari	tammikuu	Janeiro	Styczeń	Januar	Ocak	Janvier	Enero	januar
JOYFOUND	Joypad detected	Joypad Rilevato	Joypad gefunden	Joypad gevonden	Joypad löydetty	Joypad detectado	Joypad znaleziony	Joypad fundet	Oyun Çubugu algilandi	Manette détectée	Joypad detectado	Joypad najden
JOYNOTFOUND	Joypad not detected	Joypad non Rilevato	Kein Joypad gefunden	Geen joypad gevonden	Joypadia ei löytynyt	Joypad não detectado	Joypad nie odnaleziony	Joypad ikke fundet	Oyun Çubugu algilanmadi	Manette non détectée	Joypad no se detecta	Ni joypada
July	July	luglio	Juli	juli	heinäkuu	Julho	Lipiec	Juli	Temmuz	Juillet	Julio	julij
June	June	giugno	Juni	juni	huhtikuu	Junho	Czerwiec	Juni	Haziran	Juin	Junio	junij
key_0	0	0	0	0	0	0	0	0	0	0	0	0
key_1	1	1	1	1	1	1	1	1	1	1	1	1
key_2	2	2	2	2	2	2	2	2	2	2	2	2
key_3	3	3	3	3	3	3	3	3	3	3	3	3
key_4	4	4	4	4	4	4	4	4	4	4	4	4
key_5	5	5	5	5	5	5	5	5	5	5	5	5
key_6	6	6	6	6	6	6	6	6	6	6	6	6
key_7	7	7	7	7	7	7	7	7	7	7	7	7
key_8	8	8	8	8	8	8	8	8	8	8	8	8
key_9	9	9	9	9	9	9	9	9	9	9	9	9
key_A	A	A	A	A	A	A	A	A	A	A	A	A
key_Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt
key_AltKeyLeft	Alt Key Left	Alt Key Left	Alt Links	Alt Key Left	Alt Key Vasen	Alt Esquerdo	Lewy Alt	Alt Venstre	Sol Alt	Alt gauche	Tecla Alt izquierda	Levi Alt
key_AltKeyRight	Alt Key Right	Alt Key Right	Alt Rechts	Alt Key Right	Alt Key Oikea	Alt Direito	Prawy Alt	Alt Højre	Sag Alt	Alt droit	Tecla Alt Derecho	Desni Alt
key_B	B	B	B	B	B	B	B	B	B	B	B	B
key_Backslash	Backslash	Backslash	Umgekehrter Schrägstrich	Backslash	Kenoviiva	Barra Invertida	Slash w lewo	Backslash	Taksim	Backslash	Backslash	Leva poševnica
key_Backspace	Backspace	Backspace	Rücktaste	Backspace	Akelpalautin	Backspace	Wstecz	Backspace	Backspace (Sil)	Backspace	Backspace	Backspace
key_BracketClose	Bracket Close	Bracket Close	Klammer zu	Bracket Close	Sulkumerkki kiinni	Fechar colchete	Nawias zamykający	Luk Støtte	Parantez Kapa	Fermer crochet	Cierre el soporte	Zaprti oklepaj
key_BracketOpen	Bracket Open	Bracket Open	Klammer auf	Bracket Open	Sulkumerkki auki	Abrir colchete	Nawias otwierający	Åben Støtte	Parantez Aç	Ouvrir crochet	Abrir el soporte de	Odprti oklepaj
key_C	C	C	C	C	C	C	C	C	C	C	C	C
key_CapsLock	Caps Lock	Caps Lock	Feststelltaste	Caps Lock	Caps Lock	Caps Lock	Caps Lock	Caps Lock	Caps Lock	Caps Lock	Bloq Mayús	Caps Lock
key_Clear	Clear	Clear	Löschen	Clear	Tyhjä	Clear	Clear	Slet	Temizle	Clear	Borrar	Clear
key_Comma	Comma	Comma	Komma	Comma	Pilkku	Vírgula	Przecinek	Komma	Virgül	Virgule	Coma	Vejica
key_Control	Control	Control	Strg	Control	Control	Controles	Ctrl	Control	Kontrol	Control	Control	Control
key_ControlLeft	Control Left	Control Left	Strg Links	Control Left	Control Vasen	Control Esquerdo	Lewy Ctrl	Control Venstre	Sola Kontrol	Control gauche	Control de la izquierda	Levi Control
key_ControlRight	Control Right	Control Right	Strg Rechts	Control Right	Control Oikea	Control Direito	Prawy Ctrl	Control Højre	Saga Kontrol	Control droit	Control de la derecha	Desni Control
key_CursorDown	Cursor Down	Cursor Down	Pfeil Runter	Cursor Down	Alas	Seta baixo	Strzalka w dól	Pil Ned	Asagı Kontrol	Curseur bas	Cursor hacia abajo	Dol
key_CursorLeft	Cursor Left	Cursor Left	Pfeil Links	Cursor Left	Vasen	Seta esquerda	Strzalka w lewo	Pil Venstre	Imleç Sola	Curseur gauche	Cursor izquierda	Levo
key_CursorRight	Cursor Right	Cursor Right	Pfeil Rechts	Cursor Right	Oikea	Seta direita	Strzalka w prawo	Pil Højre	Imleç Saga	Curseur droit	Cursor hacia la derecha	Desno
key_CursorUp	Cursor Up	Cursor Up	Pfeil Hoch	Cursor Up	Ylös	Seta cima	Strzalka w góre	Pil Op	Imleç Asagi	Curseur haut	Cursor arriba	Gor
key_D	D	D	D	D	D	D	D	D	D	D	D	D
key_Delete	Delete	Delete	Löschen	Delete	Delete	Delete	Del	Delete	Sil	Delete	Delete	Delete
key_E	E	E	E	E	E	E	E	E	E	E	E	E
key_End	End	End	Ende	End	End	End	End	End	End	End	End	End
key_Enter	Enter	Enter	Eingabe	Enter	Enter	Enter	Enter	Enter	Enter	Enter	Enter	Enter
key_Equals	Equals	Equals	Gleichheitszeichen	Equals	On yhtä kuin-merkki	Igual	Rowna się	Lighedstegn	Esittir	Egal	Igual	Enačaj
key_Escape	Escape	Escape	Escape	Escape	Escape	Esc	Esc	Escape	Escape	Escape	Escape	Escape
key_Execute	Execute	Execute	Ausführen	Execute	Execute	Execute	Execute	Udfør	Yürüt	Execute	Ejecutar	Execute
key_F	F	F	F	F	F	Fechar colchete	F	F	F	F	F	F
key_F1	F1	F1	F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
key_F10	F10	F10	F10	F10	F10	F10	F10	F10	F10	F10	F10	F10
key_F11	F11	F11	F11	F11	F11	F11	F11	F11	F11	F11	F11	F11
key_F12	F12	F12	F12	F12	F12	F12	F12	F12	F12	F12	F12	F12
key_F2	F2	F2	F2	F2	F2	F2	F2	F2	F2	F2	F2	F2
key_F3	F3	F3	F3	F3	F3	F3	F3	F3	F3	F3	F3	F3
key_F4	F4	F4	F4	F4	F4	F4	F4	F4	F4	F4	F4	F4
key_F5	F5	F5	F5	F5	F5	F5	F5	F5	F5	F5	F5	F5
key_F6	F6	F6	F6	F6	F6	F6	F6	F6	F6	F6	F6	F6
key_F7	F7	F7	F7	F7	F7	F7	F7	F7	F7	F7	F7	F7
key_F8	F8	F8	F8	F8	F8	F8	F8	F8	F8	F8	F8	F8
key_F9	F9	F9	F9	F9	F9	F9	F9	F9	F9	F9	F9	F9
key_G	G	G	G	G	G	G	G	G	G	G	G	G
key_H	H	H	H	H	H	H	H	H	H	H	H	H
key_Help	Help	Aiuto	Hilfe	Help	Help	Help	Help	Help	Yardim	Aide	Ayuda	Help
key_Home	Home	Home	Pos 1	Home	Home	Home	Home	Home	Home	Home	Inicio	Home
key_I	I	I	I	I	I	Igual	I	I	I	I	I	I
key_Insert	Insert	Inserisci	Einfügen	Insert	Insert	Insert	Insert	Insert	Insert	Insert	Insertar	Insert
key_J	J	J	J	J	J	J	J	J	J	J	J	J
key_K	K	K	K	K	K	K	K	K	K	K	K	K
key_L	L	L	L	L	L	L	L	L	L	L	L	L
key_LeftMouseButton	Left Mouse Button	Pulsante Sinistro Mouse	Linke Maustaste	Left Mouse Button	Hiiren vasen näppäin	Botão Esquerdo do Mouse	Lewy Przycisk Myszy	Venstre Museknap	Sol Fare Dügmesi	Bouton gauche souris	Botón izquierdo del ratón	Levi miškin gumb
key_M	M	M	M	M	M	M	M	M	M	M	M	M
key_MiddleMouseButton	Middle Mouse Button	Pulsante Centrale Mouse	Mittlere Maustaste	Middle Mouse Button	Hiiren keskimmäinen näppäin	Botão do Meio do Mouse	Środkowy Przycisk Myszy	Midtermuseknap	Orta Fare Dügmesi	Bouton milieu souris	Botón central del ratón	Srednji miškin gumb
key_Minus	Minus	Meno	Minus	Minus	Miinus	Menos	Minus	Minus	Eksi	Moins	Menos	Minus
key_N	N	N	N	N	N	N	N	N	N	N	N	N
key_NumLock	Num Lock	Num Lock	Num Lock	Num Lock	Num Lock	Num Lock	num Lock	Num Lock	Num Lock	Num Lock	Bloq Num	Num Lock
key_Numpad-	Numpad -	Numpad *	Numpad -	Numpad -	Numpad -	Numpad -	Numpad -	Numpad -	Sayı Tusu -	Clavier num -	Tecl Num -	Numpad -
key_Numpad*	Numpad *	Numpad +	Numpad *	Numpad *	Numpad *	Numpad *	Numpad *	Numpad *	Sayı Tusu *	Clavier num*	Tecl Num *	Numpad *
key_Numpad.	Numpad .	Numpad -	Numpad .	Numpad .	Numpad .	Numpad .	Numpad .	Numpad .	Sayı Tusu .	Clavier num.	Tecl Num .	Numpad .
key_Numpad/	Numpad /	Numpad .	Numpad /	Numpad /	Numpad /	Numpad /	Numpad /	Numpad /	Sayı Tusu /	Clavier num /	Tecl Num /	Numpad /
key_Numpad+	Numpad +	Numpad /	Numpad +	Numpad +	Numpad +	Numpad +	Numpad +	Numpad +	Sayı Tusu +	Clavier num +	Tecl Num +	Numpad +
key_Numpad0	Numpad 0	Numpad 0	Numpad 0	Numpad 0	Numpad 0	Numpad 0	Numpad 0	Numpad 0	Sayı Tusu 0	Clavier num 0	Tecl Num 0	Numpad 0
key_Numpad1	Numpad 1	Numpad 1	Numpad 1	Numpad 1	Numpad 1	Numpad 1	Numpad 1	Numpad 1	Sayı Tusu 1	Clavier num 1	Tecl Num 1	Numpad 1
key_Numpad2	Numpad 2	Numpad 2	Numpad 2	Numpad 2	Numpad 2	Numpad 2	Numpad 2	Numpad 2	Sayı Tusu 2	Clavier num 2	Tecl Num 2	Numpad 2
key_Numpad3	Numpad 3	Numpad 3	Numpad 3	Numpad 3	Numpad 3	Numpad 3	Numpad 3	Numpad 3	Sayı Tusu 3	Clavier num 3	Tecl Num 3	Numpad 3
key_Numpad4	Numpad 4	Numpad 4	Numpad 4	Numpad 4	Numpad 4	Numpad 4	Numpad 4	Numpad 4	Sayı Tusu 4	Clavier num 4	Tecl Num 4	Numpad 4
key_Numpad5	Numpad 5	Numpad 5	Numpad 5	Numpad 5	Numpad 5	Numpad 5	Numpad 5	Numpad 5	Sayı Tusu 5	Clavier num 5	Tecl Num 5	Numpad 5
key_Numpad6	Numpad 6	Numpad 6	Numpad 6	Numpad 6	Numpad 6	Numpad 6	Numpad 6	Numpad 6	Sayı Tusu 6	Clavier num 6	Tecl Num 6	Numpad 6
key_Numpad7	Numpad 7	Numpad 7	Numpad 7	Numpad 7	Numpad 7	Numpad 7	Numpad 7	Numpad 7	Sayı Tusu 7	Clavier num 7	Tecl Num 7	Numpad 7
key_Numpad8	Numpad 8	Numpad 8	Numpad 8	Numpad 8	Numpad 8	Numpad 8	Numpad 8	Numpad 8	Sayı Tusu 8	Clavier num 8	Tecl Num 8	Numpad 8
key_Numpad9	Numpad 9	Numpad 9	Numpad 9	Numpad 9	Numpad 9	Numpad 9	Numpad 9	Numpad 9	Sayı Tusu 9	Clavier num 9	Tecl Num 9	Numpad 9
key_O	O	O	O	O	O	O	O	O	O	O	O	O
key_P	P	P	P	P	P	P	P	P	P	P	P	P
key_PageDown	Page Down	Page Down	Bild Runter	Page Down	Page Down	Page Down	Page Down	Page Down	Page Down	Page Down	Página Abajo	Page Down
key_PageUp	Page Up	Page Up	Bild Hoch	Page Up	Page Up	Page Up	Page Up	Page Up	Page Up	Page UP	Página Arriba	Page Up
key_Pause	Pause	Pause	Pause	Pause	Pause	Pause	Pause	Pause	Pause	Pause	Pausa	Pavza
key_Period	Period	Period	Punkt	Period	Piste	Ponto	Period	Punktum	Periyot	Period	Punto	Pika
key_Print	Print	Print	Druck	Print	Print	Print	Print	Print	Print	Print	Imprimir	Print
key_Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q
key_Quote	Quote	Quote	Hochkomma	Quote	Lainaa	Aspas	Quote	Quote	Tirnak	Quote	Citar	Navednica
key_R	R	R	R	R	R	R	R	R	R	R	R	R
key_RightMouseButton	Right Mouse Button	Right Mouse Button	Rechte Maustaste	Right Mouse Button	Oikea hiiren näppäin	Botão Direito do Mouse	Prawy Przycisk Myszy	Højre Museknap	Sag Fare Tusu	Bouton droit souris	Botón derecho del ratón	Desni miškin gumb
key_S	S	S	S	S	S	S	S	S	S	S	S	S
key_Screen	Screen	Screen	Bild	Screen	Screen	Screen	Screen	Screen	Ekran	Screen	Pantalla	Screen
key_ScrollLock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock
key_Select	Select	Select	Auswählen	Select	Select	Select	Select	Select	Seç	Select	Seleccione	Select
key_Semi-Colon	Semi-Colon	Semi-Colon	Semikolon	Semi-Colon	Puolipiste	Ponto-e-vírgula	Średnik	Semi-Kolon	Yarı-Kolon	Semi-colon	Punto y coma	Podpičje
key_Shift	Shift	Shift	Umschalttaste	Shift	Shift	Shift	Shift	Shift	Shift	Shift	Mayúsculas	Shift
key_ShiftLeft	Shift Left	Shift Left	Umschalt Links	Shift Left	Shift Vasen	Shift Esquerdo	Lewy Shift	Venstre Shift	Sol Shift	Shift gauche	Mayús izquierda	Levi Shift
key_ShiftRight	Shift Right	Shift Right	Umschalt Rechts	Shift Right	Shift Oikea	Shift Direito	Prawy Shift	Højre Shift	Sag Shift	Shfit droit	Mayús derecho	Desni Shift
key_Slash	Slash	Slash	Schrägstrich	Slash	Kauttamerkki	Barra	Slash	Skråstreg	Taksim	Slash	Slash	Poševnica
key_Space	Space	Space	Leertaste	Space	Välilyönti	Espaço	Spacja	Mellemrum	Bosluk	Espace	Espacio	Preslednica
key_SyskeyLeft	Sys key Left	Sys key Left	System Links	Sys key Left	Sys key Vasen	Sys esquerdo	Lewy Sys	Sys key Venstre	Sol sys tusu	Sys key gauche	Sys key izquierda	Levi Sys
key_SyskeyRight	Sys key Right	Sys key Right	System Rechts	Sys key Right	Sys key Oikea	Sys direito	Prawy Sys	Sys key Højre	Sag sys tusu	Sys key droit	Sys key derecho	Desni Sys
key_T	T	T	T	T	T	T	T	T	T	T	T	T
key_Tab	Tab	Tab	Tab	Tab	Tab	Tab	Tab	Tab	Tab	Tab	Tab	Tabulator
key_Tilde	Tilde	Tilde	Tilde	Tilde	Aaltoviiva	Til	Tylda	Tilde	Tilde (~)	Tilde	Tilde	Tilda
key_U	U	U	U	U	U	U	U	U	U	U	U	U
key_V	V	V	V	V	V	V	V	V	V	V	V	V
key_W	W	W	W	W	W	W	W	W	W	W	W	W
key_X	X	X	X	X	X	X	X	X	X	X	X	X
key_Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
key_Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
Lake View Castle	Lake View Castle	Castello con Vista Lago	Schloss mit Meerblick	Kasteel aan een meer	Järvimaisemalinna	Castelo ao Lago	Zamek nad jeziorem	Slot med Havudsigt	Göl Manzarali Kale	Château avec vue sur lac	Castillo con vista al lago	Grad ob jezeru
Language	Language	Lingua	Sprache	Taal	Kieli	Idioma	Język	Sprog	Dil	Langage	Idioma	Jezik
Lap	Lap	Giro	Runde	Ronde	Kierros	Volta	Okrazenie	Omgang	Tur	Tour	Vuelta	Krog
Lap Records	Lap Records	Record Giri	Rundenrekorde	Ronde records	Kierrosennätykset	Voltas mais Rápidas	Rekordy Orkążenia	Omgangsrekorder	Tur Kayitlari	Records du tour	Records de Vuelta	Rekordi kroga
Lap Time	Lap Time	Tempo sul Giro	Rundenzeit	Ronde tijd	Kierrosaika	Tempo da Volta	Czas Okrazenia	Omgangstid	Tur Zamanlamasi	Temps du tour	Tiempo de Vuelta	Čas kroga
Laps	Laps	Giri	Runden	Rondes	Kierrokset	Voltas	Okrazenia	Omgange	Turlar	Tours	Vueltas	Krogi
Last Lap	Last Lap	Ultimo Giro	Letzte	Laatste ronde	Viime kierros	Última Volta	Ost Okrazenie	Forr. Omgang	Son Tur	Dernier tour	Última Vuelta	Zadnji krog
Left	Left	Sinistra	Links	Links	Vasen	Esquerd	W lewo	Venstre	Sol	Gauche	Izquierdo	Levo
Length	Length	Lunghezza	Länge	Afstand	Pituus	Comprimento	Długość	Længde	Uzunluk	Longueur	Longitud	Dolžina
Load	Load	Carica	Laden	Load Game	Lataa	Carregar	Wczytaj	Indlæs	Yükle	Charger	Cargar	Naloži
Load Game	Load Game	Carica Gioco	Spiel laden	Load Game	Lataa peli	Carregar jogo	Wczytaj Grę	Indlæs Spil	Oyun Yükle	Charger partie	Cargar Juego	Naloži igro
Load Map	Load Map	Carica Mappa	Karte laden	Load Map	Lataa kartta	Carregar mapa	Wczytaj Mapę	Indlæs Kort	Harita Yükle	Charger carte	Cargar Mapa	Naloži mapo
Load Track	Load Track	Carica Tracciato	Strecke laden	Load Circuit	Lataa rata	Carregar pista	Wczytaj Tor	Indlæs Bane	Pist Yükle	Charger circuit	Cargar Pista	Naloži stezo
Low	Low	Basso	Niedrig	Laag	Matala	Baixa	Niski	Lavt	Düsük	Faible	Bajo	Nizko
